eRetailer,online_store,category,brand,is_competitor,product_description,url,sku_url,sku,sku_id,retailer_product_code,latest_review_date,image_url,total,total_comments,last_month_total,last_total_comments,note,prod_attributes1,prod_attributes2,prod_attributes3,prod_attributes4,prod_attributes5,status
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,笑容加usmile电动牙刷七夕情侣男女成人学生党礼物礼盒1件装,https://detail.tmall.com/item.htm?id=775693823612,,颜色分类:卓效清新牙膏120g,,7.76E+11,12/14/2025,,7,1-100,2,1-100,note1,,,,,,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,笑容加usmile牙刷头缓震基础清洁款替换头适配P10全系成人电动刷,https://detail.tmall.com/item.htm?id=596497709445,,颜色分类:【限时6支优惠 基础】共清洁×6,5.95E+12,5.96E+11,11/16/2025,,1,1-100,1,1-100,note2,Power Brush,Px,Entry,P10,Adults,P10
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,笑容加usmile电动牙刷智能自动成人情侣送男女朋友生日礼物盒P10,https://detail.tmall.com/item.htm?id=734319938968,,颜色分类:P1-月牙白【高效洁齿 超性价比】,6.12E+12,7.34E+11,12/15/2025,,2,1-100,1,1-100,Power Brush,Px,Entry,P10,Adults,P10,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,笑容加usmile电动牙刷头官方原装成人儿童通用替换头Y30/P10/Y20,https://detail.tmall.com/item.htm?id=736912558224,,颜色分类:缓震呵护刷头-4支,6.11E+12,7.37E+11,12/10/2025,,1,1-100,1,1-100,,,,,,,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,【儿童礼物】usmile笑容加儿童电动牙刷软毛3-6-12岁防蛀刷A10,https://detail.tmall.com/item.htm?id=737093398318,,颜色分类:A10-幻动蓝【今日送儿童牙膏】,6.12E+12,7.37E+11,11/11/2025,,2,1-100,2,1-100,Power Brush,Ax,Mid,A10,Kids,A10,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,【儿童礼物】usmile笑容加儿童电动牙刷软毛3-6-12岁防蛀刷A10,https://detail.tmall.com/item.htm?id=737093398318,,颜色分类:A10-灵柔粉【成本价到手4刷头】,6.12E+12,7.37E+11,12/16/2025,,3,1-100,3,1-100,Power Brush,Ax,Mid,A10,Kids,A10,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,usmile笑容加电动牙刷智能自动成人男女情侣款生日送礼物盒P10PRO,https://detail.tmall.com/item.htm?id=739790696400,,颜色分类:P1经典版-精灵蓝【柔护净齿 入门之选】,5.95E+12,7.40E+11,12/5/2025,,3,1-100,2,1-100,Power Brush,Px,Entry,P10 PRO,Adults,P10PRO,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,【樊振东代言】笑容加usmile成人电动牙刷情侣款礼物礼盒装Y20,https://detail.tmall.com/item.htm?id=742277016609,,颜色分类:Y20暮紫-【成本价升级4刷头】,5.92E+12,7.42E+11,12/18/2025,,1,1-100,1,1-100,Power Brush,Yx,Mid,Y20,Adults,Y20,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,笑容加usmile儿童电动牙刷头宝宝软毛防蛀通用替换头Q20/Q10/A10,https://detail.tmall.com/item.htm?id=757033344348,,商品规格:MINI全效刷头-4支,6.11E+12,7.57E+11,12/9/2025,,3,1-100,2,1-100,,,,,,,
Tmall,Tmall_Others,POWER BRUSH,Usmile,1,笑容加usmile儿童电动牙刷头宝宝软毛防蛀通用替换头Q20/Q10/A10,https://detail.tmall.com/item.htm?id=757033344348,,商品规格:MINI全效2支+缓震清洁2支,6.11E+12,7.57E+11,11/2/2025,,1,1-100,1,1-100,,,,,,,
